grades,toeic,tos,opic,foreign_lang,certificate,foreign_exp,intern,prize,volunteer,label
0,0,0,0,0,1,0,3,0,0,0
3.94,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
2.7,0,0,0,0,3,0,1,3,0,1
3,750,0,0,0,1,0,0,0,0,1
3.8,800,0,0,0,1,0,0,0,0,1
3.8,0,0,0,0,0,0,0,1,0,0
4.3,840,0,0,0,1,0,0,1,2,1
3.5,955,0,0,0,1,0,0,0,2,1
3.5,815,0,0,0,2,0,0,0,0,1
3.5,730,0,0,0,0,0,0,2,1,1
3.5,825,0,0,0,1,0,0,0,0,1
4,750,0,0,0,0,0,0,0,0,0
4.1,850,0,0,0,1,0,0,1,1,1
3.5,950,0,0,0,1,0,0,0,2,1
3.8,820,0,0,0,1,0,0,0,0,1
3.05,0,0,0,0,3,0,0,0,0,0
2.25,0,0,0,1,1,1,0,0,0,1
3.6,0,0,0,0,3,0,0,0,0,1
3.2,0,0,0,0,0,0,1,0,0,0
2.8,0,0,0,0,0,0,0,0,0,0
3.49,755,0,0,0,1,1,3,1,6,1
3.8,0,0,0,0,2,0,0,0,0,0
3.8,0,0,0,0,0,0,0,0,0,0
3.94,0,0,1,0,3,0,2,0,5,1
3.72,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0
4.17,805,0,0,0,0,0,1,0,0,1
3.58,0,0,0,0,0,0,0,0,0,0
4.19,900,0,0,0,2,0,0,0,0,1
3.3,915,0,0,0,1,0,0,1,0,1
3,0,0,0,0,0,0,0,0,0,0
3.7,760,0,0,0,0,1,0,1,0,1
3.37,0,0,0,0,0,0,0,0,0,0
2.48,0,0,0,0,2,0,0,0,0,0
3.5,0,0,0,0,1,0,0,0,0,0
0,880,0,0,0,1,0,0,0,0,0
4.34,0,0,0,0,5,1,1,0,2,1
3.5,0,0,0,1,0,1,0,0,0,1
4.28,0,0,0,0,3,0,0,0,0,1
3.41,0,0,0,1,0,0,0,0,0,0
3.89,0,0,0,0,0,1,0,0,0,0
3.75,865,0,0,0,1,0,0,0,0,1
4.17,760,0,0,0,4,0,1,1,0,1
3.01,505,0,0,0,4,0,0,0,0,1
4.16,940,0,0,0,1,0,0,0,0,1
3.9,0,0,0,0,0,0,0,3,0,1
